"contact_id","truth"
"453263",1
"453793",1
"454029",1
"455917",0
"458499",0
"459929",1
"460851",1
"462207",1
"462505",1
"462507",1
"508359",1
"508747",1
"511127",1
"512835",1
"513503",1
"515375",1
"516345",1
"516701",1
"521019",1
"521209",1
"525339",1
"528565",1
"531641",1
"532681",1
"533679",1
"535789",1
"538379",1
"539569",1
"541329",1
"541433",1
"543751",1
"559699",1
"561049",1
"562199",1
"563019",1
"564187",1
"564983",1
"566567",1
"567907",1
"573199",1
"576559",1
"578091",1
"585497",1
"586971",1
"587631",1
"591339",1
"592539",1
"594049",0
"597045",1
"597453",1
"600189",1
"600611",1
"603129",1
"603839",1
"605705",1
"606181",1
"608803",1
"610303",1
"611243",1
"617177",1
"618067",1
"618715",1
"622087",0
"622253",1
"622565",1
"626037",1
"627963",1
"628171",1
"628679",1
"629689",1
"634547",1
"636383",1
"636783",1
"638313",1
"639705",1
"639747",1
"639967",1
"641671",1
"641977",1
"643103",1
"644275",1
"644405",1
"647417",1
"649305",1
"650087",1
"651851",1
"652529",1
"653891",1
"654931",1
"655817",1
"655925",0
"656301",1
"656871",1
"657403",1
"658349",1
"658481",0
"658661",1
"658735",1
"659285",0
"660723",1
"661329",1
"662165",1
"662623",1
"663581",1
"664331",1
"664581",1
"665221",1
"665973",1
"667145",1
"668003",1
"669169",1
"671511",1
"672337",0
"675445",1
"676375",1
"677135",1
"677889",1
"677973",1
"678627",1
"680185",1
"681779",1
"684473",1
"684827",1
"685187",1
"685883",1
"685959",1
"686051",1
"710829",1
"717485",1
"721035",1
"721443",1
"726205",0
"729261",1
"730017",1
"730443",1
"730787",1
"732065",1
"732157",1
"733751",1
"736319",1
"737969",1
"738281",1
"738581",1
"739685",1
"757067",1
"761307",1
"764685",0
"769115",1
"770635",1
"774177",1
"779343",1
"782313",1
"782437",1
"787055",1
"787317",1
"787361",1
"787555",1
"787935",1
"788171",1
"788375",1
"788957",1
"789193",1
"790021",1
"790301",1
"790661",1
"790673",1
"791059",1
"792579",1
"2389199",0
"792743",1
"793017",1
"793173",1
"793345",1
"793811",1
"794137",1
"794165",1
"795311",0
"795727",1
"795965",1
"796655",1
"797199",0
